イベントID,地震発生場所,地震発生時刻,観測点で地震を検知した時刻,緯度,経度,マグニチュード,県名称,市町村名称,最大震度,震度観測点の情報
20220804185845,岩手県沿岸北部,2022-08-04T18:58:00+09:00,2022-08-04T18:58:00+09:00,39.13333333333333,141.13333333333333,3.5,青森県,階上町,1,階上町道仏＊ 
20220804185845,岩手県沿岸北部,2022-08-04T18:58:00+09:00,2022-08-04T18:58:00+09:00,39.13333333333333,141.13333333333333,3.5,岩手県,宮古市,1,宮古市区界＊ 遠野市青笹町＊ 
20220804185845,岩手県沿岸北部,2022-08-04T18:58:00+09:00,2022-08-04T18:58:00+09:00,39.13333333333333,141.13333333333333,3.5,岩手県,遠野市,1,宮古市区界＊ 遠野市青笹町＊ 
20220804153825,福島県沖,2022-08-04T15:38:00+09:00,2022-08-04T15:38:00+09:00,37.13333333333333,141.1,3.7,福島県,双葉町,1,双葉町両竹＊ 
20220804094828,福島県沖,2022-08-04T09:48:00+09:00,2022-08-04T09:48:00+09:00,37.1,141.11666666666667,5.6,宮城県,丸森町,4,丸森町鳥屋＊ 丸森町上滝 白石市亘理町＊ 仙台空港 名取市増田＊ 角田市角田＊ 岩沼市桜＊ 蔵王町円田＊ 大河原町新南＊ 村田町村田＊ 柴田町船岡 宮城川崎町前川＊ 亘理町悠里＊ 山元町浅生原＊ 七ヶ宿町関＊ 石巻市桃生町＊ 石巻市大街道南＊ 石巻市相野谷＊ 石巻市前谷地＊ 石巻市泉町 石巻市大瓜 石巻市鮎川浜＊ 石巻市北上町＊ 石巻市雄勝町＊ 塩竈市今宮町＊ 東松島市小野＊ 東松島市矢本＊ 松島町高城 七ヶ浜町東宮浜＊ 利府町利府＊ 大郷町粕川＊ 仙台青葉区大倉 仙台青葉区作並＊ 仙台青葉区雨宮＊ 仙台青葉区落合＊ 仙台宮城野区五輪 仙台宮城野区苦竹＊ 仙台若林区遠見塚＊ 仙台太白区山田＊ 仙台泉区将監＊ 多賀城市中央＊ 富谷市富谷＊ 大和町吉岡＊ 大衡村大衡＊ 女川町女川＊ 登米市中田町 登米市豊里町＊ 登米市登米町＊ 登米市米山町＊ 登米市南方町＊ 登米市迫町＊ 登米市東和町＊ 登米市石越町＊ 登米市津山町＊ 栗原市築館＊ 栗原市高清水＊ 栗原市若柳＊ 栗原市栗駒 栗原市鶯沢＊ 栗原市花山＊ 栗原市志波姫＊ 栗原市金成＊ 栗原市一迫＊ 大崎市古川三日町 大崎市古川大崎 大崎市古川旭＊ 大崎市松山＊ 大崎市三本木＊ 大崎市田尻＊ 大崎市鳴子＊ 大崎市鹿島台＊ 大崎市岩出山＊ 色麻町四竈＊ 涌谷町新町裏 宮城美里町木間塚＊ 宮城美里町北浦＊ 気仙沼市赤岩 気仙沼市笹が陣＊ 気仙沼市唐桑町＊ 気仙沼市本吉町西川内 気仙沼市本吉町津谷＊ 宮城加美町中新田＊ 宮城加美町小野田＊ 宮城加美町宮崎＊ 南三陸町歌津＊ 南三陸町志津川 
20220804094828,福島県沖,2022-08-04T09:48:00+09:00,2022-08-04T09:48:00+09:00,37.1,141.11666666666667,5.6,宮城県,白石市,3,丸森町鳥屋＊ 丸森町上滝 白石市亘理町＊ 仙台空港 名取市増田＊ 角田市角田＊ 岩沼市桜＊ 蔵王町円田＊ 大河原町新南＊ 村田町村田＊ 柴田町船岡 宮城川崎町前川＊ 亘理町悠里＊ 山元町浅生原＊ 七ヶ宿町関＊ 石巻市桃生町＊ 石巻市大街道南＊ 石巻市相野谷＊ 石巻市前谷地＊ 石巻市泉町 石巻市大瓜 石巻市鮎川浜＊ 石巻市北上町＊ 石巻市雄勝町＊ 塩竈市今宮町＊ 東松島市小野＊ 東松島市矢本＊ 松島町高城 七ヶ浜町東宮浜＊ 利府町利府＊ 大郷町粕川＊ 仙台青葉区大倉 仙台青葉区作並＊ 仙台青葉区雨宮＊ 仙台青葉区落合＊ 仙台宮城野区五輪 仙台宮城野区苦竹＊ 仙台若林区遠見塚＊ 仙台太白区山田＊ 仙台泉区将監＊ 多賀城市中央＊ 富谷市富谷＊ 大和町吉岡＊ 大衡村大衡＊ 女川町女川＊ 登米市中田町 登米市豊里町＊ 登米市登米町＊ 登米市米山町＊ 登米市南方町＊ 登米市迫町＊ 登米市東和町＊ 登米市石越町＊ 登米市津山町＊ 栗原市築館＊ 栗原市高清水＊ 栗原市若柳＊ 栗原市栗駒 栗原市鶯沢＊ 栗原市花山＊ 栗原市志波姫＊ 栗原市金成＊ 栗原市一迫＊ 大崎市古川三日町 大崎市古川大崎 大崎市古川旭＊ 大崎市松山＊ 大崎市三本木＊ 大崎市田尻＊ 大崎市鳴子＊ 大崎市鹿島台＊ 大崎市岩出山＊ 色麻町四竈＊ 涌谷町新町裏 宮城美里町木間塚＊ 宮城美里町北浦＊ 気仙沼市赤岩 気仙沼市笹が陣＊ 気仙沼市唐桑町＊ 気仙沼市本吉町西川内 気仙沼市本吉町津谷＊ 宮城加美町中新田＊ 宮城加美町小野田＊ 宮城加美町宮崎＊ 南三陸町歌津＊ 南三陸町志津川 
20220804094828,福島県沖,2022-08-04T09:48:00+09:00,2022-08-04T09:48:00+09:00,37.1,141.11666666666667,5.6,宮城県,名取市,3,丸森町鳥屋＊ 丸森町上滝 白石市亘理町＊ 仙台空港 名取市増田＊ 角田市角田＊ 岩沼市桜＊ 蔵王町円田＊ 大河原町新南＊ 村田町村田＊ 柴田町船岡 宮城川崎町前川＊ 亘理町悠里＊ 山元町浅生原＊ 七ヶ宿町関＊ 石巻市桃生町＊ 石巻市大街道南＊ 石巻市相野谷＊ 石巻市前谷地＊ 石巻市泉町 石巻市大瓜 石巻市鮎川浜＊ 石巻市北上町＊ 石巻市雄勝町＊ 塩竈市今宮町＊ 東松島市小野＊ 東松島市矢本＊ 松島町高城 七ヶ浜町東宮浜＊ 利府町利府＊ 大郷町粕川＊ 仙台青葉区大倉 仙台青葉区作並＊ 仙台青葉区雨宮＊ 仙台青葉区落合＊ 仙台宮城野区五輪 仙台宮城野区苦竹＊ 仙台若林区遠見塚＊ 仙台太白区山田＊ 仙台泉区将監＊ 多賀城市中央＊ 富谷市富谷＊ 大和町吉岡＊ 大衡村大衡＊ 女川町女川＊ 登米市中田町 登米市豊里町＊ 登米市登米町＊ 登米市米山町＊ 登米市南方町＊ 登米市迫町＊ 登米市東和町＊ 登米市石越町＊ 登米市津山町＊ 栗原市築館＊ 栗原市高清水＊ 栗原市若柳＊ 栗原市栗駒 栗原市鶯沢＊ 栗原市花山＊ 栗原市志波姫＊ 栗原市金成＊ 栗原市一迫＊ 大崎市古川三日町 大崎市古川大崎 大崎市古川旭＊ 大崎市松山＊ 大崎市三本木＊ 大崎市田尻＊ 大崎市鳴子＊ 大崎市鹿島台＊ 大崎市岩出山＊ 色麻町四竈＊ 涌谷町新町裏 宮城美里町木間塚＊ 宮城美里町北浦＊ 気仙沼市赤岩 気仙沼市笹が陣＊ 気仙沼市唐桑町＊ 気仙沼市本吉町西川内 気仙沼市本吉町津谷＊ 宮城加美町中新田＊ 宮城加美町小野田＊ 宮城加美町宮崎＊ 南三陸町歌津＊ 南三陸町志津川 
20220804094828,福島県沖,2022-08-04T09:48:00+09:00,2022-08-04T09:48:00+09:00,37.1,141.11666666666667,5.6,宮城県,角田市,3,丸森町鳥屋＊ 丸森町上滝 白石市亘理町＊ 仙台空港 名取市増田＊ 角田市角田＊ 岩沼市桜＊ 蔵王町円田＊ 大河原町新南＊ 村田町村田＊ 柴田町船岡 宮城川崎町前川＊ 亘理町悠里＊ 山元町浅生原＊ 七ヶ宿町関＊ 石巻市桃生町＊ 石巻市大街道南＊ 石巻市相野谷＊ 石巻市前谷地＊ 石巻市泉町 石巻市大瓜 石巻市鮎川浜＊ 石巻市北上町＊ 石巻市雄勝町＊ 塩竈市今宮町＊ 東松島市小野＊ 東松島市矢本＊ 松島町高城 七ヶ浜町東宮浜＊ 利府町利府＊ 大郷町粕川＊ 仙台青葉区大倉 仙台青葉区作並＊ 仙台青葉区雨宮＊ 仙台青葉区落合＊ 仙台宮城野区五輪 仙台宮城野区苦竹＊ 仙台若林区遠見塚＊ 仙台太白区山田＊ 仙台泉区将監＊ 多賀城市中央＊ 富谷市富谷＊ 大和町吉岡＊ 大衡村大衡＊ 女川町女川＊ 登米市中田町 登米市豊里町＊ 登米市登米町＊ 登米市米山町＊ 登米市南方町＊ 登米市迫町＊ 登米市東和町＊ 登米市石越町＊ 登米市津山町＊ 栗原市築館＊ 栗原市高清水＊ 栗原市若柳＊ 栗原市栗駒 栗原市鶯沢＊ 栗原市花山＊ 栗原市志波姫＊ 栗原市金成＊ 栗原市一迫＊ 大崎市古川三日町 大崎市古川大崎 大崎市古川旭＊ 大崎市松山＊ 大崎市三本木＊ 大崎市田尻＊ 大崎市鳴子＊ 大崎市鹿島台＊ 大崎市岩出山＊ 色麻町四竈＊ 涌谷町新町裏 宮城美里町木間塚＊ 宮城美里町北浦＊ 気仙沼市赤岩 気仙沼市笹が陣＊ 気仙沼市唐桑町＊ 気仙沼市本吉町西川内 気仙沼市本吉町津谷＊ 宮城加美町中新田＊ 宮城加美町小野田＊ 宮城加美町宮崎＊ 南三陸町歌津＊ 南三陸町志津川 
20220804094828,福島県沖,2022-08-04T09:48:00+09:00,2022-08-04T09:48:00+09:00,37.1,141.11666666666667,5.6,宮城県,岩沼市,3,丸森町鳥屋＊ 丸森町上滝 白石市亘理町＊ 仙台空港 名取市増田＊ 角田市角田＊ 岩沼市桜＊ 蔵王町円田＊ 大河原町新南＊ 村田町村田＊ 柴田町船岡 宮城川崎町前川＊ 亘理町悠里＊ 山元町浅生原＊ 七ヶ宿町関＊ 石巻市桃生町＊ 石巻市大街道南＊ 石巻市相野谷＊ 石巻市前谷地＊ 石巻市泉町 石巻市大瓜 石巻市鮎川浜＊ 石巻市北上町＊ 石巻市雄勝町＊ 塩竈市今宮町＊ 東松島市小野＊ 東松島市矢本＊ 松島町高城 七ヶ浜町東宮浜＊ 利府町利府＊ 大郷町粕川＊ 仙台青葉区大倉 仙台青葉区作並＊ 仙台青葉区雨宮＊ 仙台青葉区落合＊ 仙台宮城野区五輪 仙台宮城野区苦竹＊ 仙台若林区遠見塚＊ 仙台太白区山田＊ 仙台泉区将監＊ 多賀城市中央＊ 富谷市富谷＊ 大和町吉岡＊ 大衡村大衡＊ 女川町女川＊ 登米市中田町 登米市豊里町＊ 登米市登米町＊ 登米市米山町＊ 登米市南方町＊ 登米市迫町＊ 登米市東和町＊ 登米市石越町＊ 登米市津山町＊ 栗原市築館＊ 栗原市高清水＊ 栗原市若柳＊ 栗原市栗駒 栗原市鶯沢＊ 栗原市花山＊ 栗原市志波姫＊ 栗原市金成＊ 栗原市一迫＊ 大崎市古川三日町 大崎市古川大崎 大崎市古川旭＊ 大崎市松山＊ 大崎市三本木＊ 大崎市田尻＊ 大崎市鳴子＊ 大崎市鹿島台＊ 大崎市岩出山＊ 色麻町四竈＊ 涌谷町新町裏 宮城美里町木間塚＊ 宮城美里町北浦＊ 気仙沼市赤岩 気仙沼市笹が陣＊ 気仙沼市唐桑町＊ 気仙沼市本吉町西川内 気仙沼市本吉町津谷＊ 宮城加美町中新田＊ 宮城加美町小野田＊ 宮城加美町宮崎＊ 南三陸町歌津＊ 南三陸町志津川 
20220804094828,福島県沖,2022-08-04T09:48:00+09:00,2022-08-04T09:48:00+09:00,37.1,141.11666666666667,5.6,宮城県,蔵王町,3,丸森町鳥屋＊ 丸森町上滝 白石市亘理町＊ 仙台空港 名取市増田＊ 角田市角田＊ 岩沼市桜＊ 蔵王町円田＊ 大河原町新南＊ 村田町村田＊ 柴田町船岡 宮城川崎町前川＊ 亘理町悠里＊ 山元町浅生原＊ 七ヶ宿町関＊ 石巻市桃生町＊ 石巻市大街道南＊ 石巻市相野谷＊ 石巻市前谷地＊ 石巻市泉町 石巻市大瓜 石巻市鮎川浜＊ 石巻市北上町＊ 石巻市雄勝町＊ 塩竈市今宮町＊ 東松島市小野＊ 東松島市矢本＊ 松島町高城 七ヶ浜町東宮浜＊ 利府町利府＊ 大郷町粕川＊ 仙台青葉区大倉 仙台青葉区作並＊ 仙台青葉区雨宮＊ 仙台青葉区落合＊ 仙台宮城野区五輪 仙台宮城野区苦竹＊ 仙台若林区遠見塚＊ 仙台太白区山田＊ 仙台泉区将監＊ 多賀城市中央＊ 富谷市富谷＊ 大和町吉岡＊ 大衡村大衡＊ 女川町女川＊ 登米市中田町 登米市豊里町＊ 登米市登米町＊ 登米市米山町＊ 登米市南方町＊ 登米市迫町＊ 登米市東和町＊ 登米市石越町＊ 登米市津山町＊ 栗原市築館＊ 栗原市高清水＊ 栗原市若柳＊ 栗原市栗駒 栗原市鶯沢＊ 栗原市花山＊ 栗原市志波姫＊ 栗原市金成＊ 栗原市一迫＊ 大崎市古川三日町 大崎市古川大崎 大崎市古川旭＊ 大崎市松山＊ 大崎市三本木＊ 大崎市田尻＊ 大崎市鳴子＊ 大崎市鹿島台＊ 大崎市岩出山＊ 色麻町四竈＊ 涌谷町新町裏 宮城美里町木間塚＊ 宮城美里町北浦＊ 気仙沼市赤岩 気仙沼市笹が陣＊ 気仙沼市唐桑町＊ 気仙沼市本吉町西川内 気仙沼市本吉町津谷＊ 宮城加美町中新田＊ 宮城加美町小野田＊ 宮城加美町宮崎＊ 南三陸町歌津＊ 南三陸町志津川 
